hhi,whi,hhi2,education,race,hispanic,experience,kidslt6,kids618,husby,region,whrswk
yes,no,yes,13-15years,white,no,49.39419,-0.00079151517,-0.0024349554,107.18894,west,between 0.0 and 35.0
yes,no,yes,13-15years,white,no,36.47715,-0.00026538118,1.0125322,28.040667,other,between 0.0 and 35.0
yes,no,yes,16years,white,no,9.73805,1.001828,-0.00013108784,66.99561,other,between 0.0 and 35.0
no,yes,no,13-15years,white,no,18.399231,-1.4408026e-05,2.0238776,21.532036,other,between 35.0 and 40.0
yes,yes,yes,12years,white,no,31.02608,0.000114294,-0.005154388,65.03643,other,greater than 40.0
no,no,no,13-15years,white,no,20.795774,-0.0015056235,1.0005296,11.470666,south,between 0.0 and 35.0
no,no,no,>16years,white,no,10.900829,2.0556076,0.99662745,34.38091,other,between 0.0 and 35.0
yes,no,yes,12years,white,no,20.60305,0.0029155018,1.0048501,29.069456,west,between 0.0 and 35.0
no,no,no,12years,white,no,48.901245,-0.0015457538,0.002784401,0.2368102,south,between 0.0 and 35.0
yes,no,yes,>16years,white,no,16.58625,-0.0021434193,-0.0006960325,101.777725,other,between 0.0 and 35.0
no,no,no,12years,white,no,22.347286,-0.0007332465,2.0413725,13.418553,other,greater than 40.0
yes,yes,yes,13-15years,white,no,15.620791,-0.0007083822,0.99301195,0.4793585,northcentral,greater than 40.0
yes,yes,yes,16years,white,no,11.70849,0.0019906622,0.0063588666,58.944744,south,greater than 40.0
yes,yes,yes,>16years,white,no,19.457655,-0.0001962576,0.0076787258,40.631416,northcentral,greater than 40.0
yes,no,yes,>16years,white,no,11.584771,-0.0014541721,0.9998517,34.091854,northcentral,between 0.0 and 35.0
no,no,no,16years,white,no,7.857706,-0.00330981,1.0025489,6.098231,northcentral,greater than 40.0
yes,yes,yes,>16years,white,no,10.239658,-0.00028818485,1.9896615,26.59491,south,greater than 40.0
yes,no,yes,13-15years,white,no,29.48342,-0.00067695207,0.0014665192,23.68125,south,between 0.0 and 35.0
yes,yes,yes,>16years,white,no,20.877272,7.486378e-05,-0.001921072,29.577847,other,greater than 40.0
yes,yes,yes,16years,white,no,12.015482,0.9998885,0.0105301235,71.784935,other,greater than 40.0
yes,no,yes,13-15years,white,no,19.929464,-0.0014733874,-0.0039754175,28.833273,south,between 0.0 and 35.0
yes,yes,yes,13-15years,white,no,27.79524,-0.0020843241,-0.001520986,37.794895,other,greater than 40.0
yes,yes,yes,>16years,white,no,9.884269,-0.00017914094,1.0036395,60.478138,other,greater than 40.0
yes,yes,yes,13-15years,white,no,32.1849,-0.0001525362,0.00010316633,35.543858,west,greater than 40.0
yes,no,yes,13-15years,white,no,46.58455,0.00078786036,0.9959344,44.11855,northcentral,between 0.0 and 35.0
no,no,no,16years,white,no,11.404443,1.0073824,0.9998355,4.6298895,other,between 0.0 and 35.0
yes,yes,yes,12years,white,no,9.477492,0.0015916119,0.9998297,47.241077,northcentral,between 35.0 and 40.0
yes,no,yes,13-15years,white,no,11.123507,0.75550514,0.9927635,9.387343,other,between 0.0 and 35.0
yes,no,yes,16years,white,no,40.202343,-0.00046931475,2.0034316,29.380945,northcentral,between 0.0 and 35.0
yes,no,yes,12years,white,no,24.659918,-0.0014174845,-0.00012188556,73.099915,other,between 0.0 and 35.0
no,no,no,16years,white,no,11.175791,-0.002247039,-0.004022707,6.564278,northcentral,between 0.0 and 35.0
yes,no,yes,13-15years,white,no,14.903464,1.0172755,1.0062467,44.621346,other,between 0.0 and 35.0
