Team,League,Year,RA,W,OBP,SLG,BA,Playoffs,G,RS
LAD,NL,1978,573,95,0.3379999999999999,0.402,0.264,1,162,between 711.0 and 775.0
NYY,AL,1983,703,91,0.337,0.416,0.273,0,162,between 711.0 and 775.0
SFG,NL,2000,747,97,0.362,0.472,0.278,1,162,greater than 775.0
BOS,AL,2007,657,96,0.362,0.444,0.2789999999999999,1,162,greater than 775.0
CLE,AL,1990,737,77,0.324,0.391,0.267,0,162,between 711.0 and 775.0
MIL,AL,1989,679,81,0.318,0.382,0.259,0,162,between 652.0 and 711.0
OAK,AL,1969,678,88,0.3289999999999999,0.376,0.249,0,162,between 711.0 and 775.0
TEX,AL,1997,823,77,0.3339999999999999,0.4379999999999999,0.2739999999999999,0,162,greater than 775.0
ATL,NL,1974,563,88,0.319,0.363,0.249,0,163,between 652.0 and 711.0
KCA,AL,1966,648,74,0.294,0.337,0.236,0,160,less than 652.0
ARI,NL,2004,899,51,0.31,0.3929999999999999,0.253,0,162,less than 652.0
CHC,NL,2005,714,79,0.324,0.44,0.27,0,162,between 652.0 and 711.0
SFG,NL,1982,687,87,0.327,0.376,0.253,0,162,between 652.0 and 711.0
SDP,NL,2003,831,64,0.3329999999999999,0.3879999999999999,0.261,0,162,between 652.0 and 711.0
CHW,AL,1979,748,73,0.3329999999999999,0.41,0.275,0,160,between 711.0 and 775.0
ATL,NL,1973,774,76,0.3389999999999999,0.427,0.266,0,162,greater than 775.0
LAD,NL,1966,490,95,0.314,0.362,0.256,1,162,less than 652.0
TOR,AL,1990,661,86,0.3279999999999999,0.419,0.265,0,162,between 711.0 and 775.0
BOS,AL,2012,806,69,0.315,0.415,0.26,0,162,between 711.0 and 775.0
CHW,AL,2000,839,95,0.356,0.47,0.286,1,162,greater than 775.0
ATL,NL,2005,674,90,0.3329999999999999,0.435,0.265,1,162,between 711.0 and 775.0
KCR,AL,2009,842,65,0.318,0.405,0.259,0,162,between 652.0 and 711.0
BAL,AL,2006,899,70,0.3389999999999999,0.424,0.2769999999999999,0,162,between 711.0 and 775.0
