hhi,whi,hhi2,education,race,hispanic,experience,kidslt6,kids618,husby,region,whrswk
no,no,no,12years,white,no,19.5,0,2,13.4,south,between 0.0 and 35.0
yes,yes,yes,13-15years,white,no,41.2,1,0,51.9,northcentral,greater than 40.0
no,no,no,9-11years,white,no,26.8,0,0,0.0,south,between 0.0 and 35.0
yes,no,yes,16years,white,no,14.1,2,1,38.9,other,between 0.0 and 35.0
no,yes,yes,12years,white,no,18.1,0,3,25.1,west,greater than 40.0
yes,no,yes,>16years,white,no,32.9,0,0,60.0,northcentral,between 35.0 and 40.0
no,yes,no,13-15years,white,no,44.8,0,0,18.3,west,between 0.0 and 35.0
yes,yes,yes,12years,white,no,11.4,1,0,21.9,south,greater than 40.0
no,no,no,12years,white,no,40.9,0,0,0.0,other,between 0.0 and 35.0
no,yes,yes,9-11years,black,no,29.1,0,0,0.45,south,between 0.0 and 35.0
yes,yes,yes,13-15years,white,no,25.4,2,1,32.0,south,greater than 40.0
no,no,no,16years,white,no,36.5,0,0,99.0,other,greater than 40.0
yes,no,yes,12years,white,no,16.2,0,0,34.5,northcentral,between 35.0 and 40.0
no,yes,no,12years,white,yes,3.0,3,0,0.0,northcentral,between 0.0 and 35.0
yes,no,yes,16years,white,no,37.1,0,0,0.0,other,between 0.0 and 35.0
no,yes,no,13-15years,white,no,20.6,0,0,14.0,west,between 0.0 and 35.0
yes,yes,yes,12years,white,no,18.0,0,0,19.0,south,greater than 40.0
yes,no,yes,13-15years,white,no,14.0,1,0,40.1,northcentral,greater than 40.0
no,yes,yes,12years,white,no,30.0,0,0,8.0,northcentral,between 0.0 and 35.0
yes,yes,yes,9-11years,white,no,43.0,0,0,0.0,south,between 0.0 and 35.0
yes,yes,yes,16years,white,no,6.0,0,0,22.0,northcentral,greater than 40.0
no,yes,yes,12years,white,no,44.0,0,0,0.0,other,between 0.0 and 35.0
yes,no,yes,12years,white,no,16.1,0,1,28.0,south,between 0.0 and 35.0
no,yes,yes,13-15years,white,no,23.0,0,0,6.0,northcentral,between 0.0 and 35.0
yes,yes,yes,13-15years,white,no,29.0,1,0,50.0,other,between 0.0 and 35.0
yes,yes,yes,12years,white,no,18.0,0,1,19.0,south,greater than 40.0
yes,yes,yes,12years,black,no,37.0,0,0,20.0,south,greater than 40.0
yes,no,yes,13-15years,white,no,7.0,0,0,38.0,west,between 0.0 and 35.0
no,yes,yes,12years,white,no,35.0,0,0,54.0,west,between 0.0 and 35.0
no,yes,yes,9-11years,white,no,26.0,0,0,18.0,northcentral,greater than 40.0
no,yes,yes,16years,white,no,38.0,0,0,40.0,northcentral,between 0.0 and 35.0
yes,yes,yes,12years,white,no,14.0,0,2,19.0,south,greater than 40.0
yes,yes,yes,9-11years,white,no,25.0,0,0,34.0,west,greater than 40.0
no,yes,yes,12years,white,no,25.0,0,3,0.0,south,between 0.0 and 35.0
yes,yes,yes,13-15years,white,no,19.0,2,1,51.0,south,between 0.0 and 35.0
yes,yes,yes,12years,white,no,13.0,0,0,20.0,south,between 35.0 and 40.0
yes,yes,yes,12years,white,no,29.0,1,1,60.0,northcentral,greater than 40.0
yes,yes,yes,12years,black,no,16.0,0,0,34.0,west,between 0.0 and 35.0
yes,yes,yes,12years,white,no,33.0,0,2,22.0,other,greater than 40.0
no,yes,yes,12years,white,no,22.0,0,1,25.0,northcentral,between 0.0 and 35.0
yes,yes,yes,13-15years,white,no,41.0,0,1,50.0,other,between 35.0 and 40.0
no,yes,yes,13-15years,white,no,18.0,0,0,5.0,west,between 0.0 and 35.0
yes,yes,yes,16years,white,no,27.0,0,2,35.0,south,greater than 40.0
no,yes,yes,9-11years,white,no,14.0,1,1,30.0,northcentral,greater than 40.0
no,yes,yes,12years,white,yes,11.0,0,0,22.0,south,greater than 40.0
no,yes,yes,13-15years,white,no,15.0,0,0,18.0,west,between 0.0 and 35.0
yes,yes,yes,12years,white,no,24.0,0,0,39.0,other,between 0.0 and 35.0
yes,yes,yes,16years,white,no,21.0,0,0,17.0,northcentral,greater than 40.0
yes,yes,yes,13-15years,white,no,38.0,0,0,55.0,south,greater than 40.0
no,yes,yes,12years,white,no,32.0,0,0,20.0,west,between 0.0 and 35.0
no,yes,yes,16years,white,no,39.0,0,0,48.0,other,greater than 40.0
yes,yes,yes,12years,white,no,30.0,0,3,0.0,south,between 0.0 and 35.0
yes,yes,yes,12years,white,no,25.0,1,2,33.0,west,between 35.0 and 40.0
yes,yes,yes,16years,white,no,36.0,0,0,51.0,northcentral,between 0.0 and 35.0
no,yes,yes,12years,white,no,28.0,0,0,6.0,south,greater than 40.0
yes,yes,yes,13-15years,white,no,17.0,1,0,52.0,south,greater than 40.0
yes,yes,yes,12years,white,no,26.0,0,0,23.0,other,greater than 40.0
no,yes,yes,12years,white,no,35.0,0,0,9.0,west,between 0.0 and 35.0
yes,yes,yes,9-11years,white,no,22.0,0,1,40.0,other,between 0.0 and 35.0
yes,yes,yes,16years,white,no,19.0,0,0,41.0,northcentral,between 35.0 and 40.0
yes,yes,yes,12years,white,no,13.0,2,0,30.0,south,greater than 40.0
yes,yes,yes,13-15years,white,no,39.0,0,0,50.0,other,greater than 40.0
yes,yes,yes,12years,white,no,17.0,1,1,35.0,south,between 0.0 and 35.0
yes,yes,yes,12years,white,no,27.0,0,2,60.0,northcentral,greater than 40.0
yes,yes,yes,9-11years,white,no,30.0,0,0,20.0,west,between 0.0 and 35.0
yes,yes,yes,16years,white,no,25.0,0,0,45.0,south,greater than 40.0
no,yes,yes,12years,white,no,12.0,0,0,10.0,other,between 0.0 and 35.0
yes,yes,yes,12years,white,no,18.0,0,1,22.0,south,greater than 40.0
no,yes,yes,12years,white,no,38.0,0,0,12.0,west,between 35.0 and 40.0
yes,yes,yes,12years,white,no,39.0,0,0,55.0,other,greater than 40.0
yes,yes,yes,12years,white,no,21.0,2,0,48.0,south,between 0.0 and 35.0
yes,yes,yes,12years,white,no,24.0,0,2,36.0,northcentral,between 35.0 and 40.0
yes,yes,yes,13-15years,white,no,35.0,1,0,40.0,south,between 0.0 and 35.0
yes,yes,yes,12years,white,no,19.0,0,0,32.0,south,greater than 40.0
yes,yes,yes,16years,white,no,28.0,0,1,20.0,west,between 0.0 and 35.0
yes,yes,yes,12years,white,no,34.0,0,0,15.0,other,between 0.0 and 35.0
yes,yes,yes,13-15years,white,no,20.0,0,0,45.0,south,greater than 40.0
no,yes,no,12years,white,no,29.3,0,0,22.0,south,between 0.0 and 35.0
no,no,yes,13-15years,white,no,18.0,0,2,4.0,west,between 0.0 and 35.0
yes,no,yes,12years,white,no,33.0,1,1,11.0,south,between 0.0 and 35.0
yes,yes,yes,16years,white,no,10.0,0,0,41.0,northcentral,greater than 40.0
yes,no,yes,9-11years,white,no,25.0,0,0,8.0,other,between 0.0 and 35.0
yes,no,yes,12years,white,no,20.0,0,1,61.0,south,greater than 40.0
yes,yes,yes,13-15years,white,no,32.0,0,0,13.0,west,between 0.0 and 35.0
yes,yes,yes,12years,white,no,38.0,0,2,10.0,northcentral,between 0.0 and 35.0
no,yes,yes,13-15years,white,no,21.0,1,0,24.0,other,greater than 40.0
yes,no,yes,16years,white,no,12.0,0,0,30.0,south,between 0.0 and 35.0
no,yes,no,12years,white,no,17.0,1,2,60.0,west,between 0.0 and 35.0
yes,yes,yes,12years,white,no,24.0,0,0,26.0,south,greater than 40.0
yes,no,yes,9-11years,white,no,44.0,0,1,42.0,northcentral,between 0.0 and 35.0
yes,yes,yes,12years,white,no,16.0,0,0,35.0,other,between 0.0 and 35.0
no,yes,yes,13-15years,white,no,34.0,0,0,29.0,south,between 0.0 and 35.0
yes,yes,yes,12years,white,no,11.0,0,1,38.0,northcentral,greater than 40.0
no,yes,yes,16years,white,no,27.0,0,0,67.0,south,between 0.0 and 35.0
yes,no,yes,12years,white,no,40.0,1,1,9.0,northcentral,between 0.0 and 35.0
