hhi,whi,hhi2,education,race,hispanic,experience,kidslt6,kids618,husby,region,whrswk
yes,no,yes,12years,white,no,30.67,0,0,49.21,other,between 0.0 and 35.0
yes,yes,yes,12years,white,no,20.85,1,0,13.15,northcentral,between 0.0 and 35.0
no,no,no,13-15years,white,no,41.36,0,2,80.46,south,greater than 40.0
yes,yes,yes,13-15years,white,no,25.78,0,1,38.46,other,between 0.0 and 35.0
yes,no,yes,12years,white,no,36.96,0,0,60.21,south,between 0.0 and 35.0
no,yes,yes,>16years,white,no,17.31,0,1,29.67,northcentral,between 35.0 and 40.0
yes,yes,yes,12years,white,yes,29.13,0,0,43.79,west,between 0.0 and 35.0
yes,no,yes,9-11years,white,no,22.92,1,1,51.19,south,between 0.0 and 35.0
no,no,no,16years,white,no,44.74,0,0,6.46,other,between 0.0 and 35.0
no,yes,yes,13-15years,white,no,34.85,0,2,49.21,other,greater than 40.0
yes,no,yes,12years,white,no,27.51,1,0,14.95,northcentral,between 0.0 and 35.0
yes,yes,yes,12years,white,yes,39.17,0,1,73.38,other,between 35.0 and 40.0
no,yes,yes,>16years,white,yes,18.67,0,0,42.96,west,between 0.0 and 35.0
yes,yes,yes,16years,white,no,13.38,0,1,35.54,south,greater than 40.0
no,yes,yes,13-15years,white,no,32.96,0,0,28.54,south,between 35.0 and 40.0
yes,no,yes,9-11years,white,yes,45.83,1,0,63.25,other,between 0.0 and 35.0
