hhi,whi,hhi2,education,race,hispanic,experience,kidslt6,kids618,husby,region,whrswk
yes,no,yes,12years,white,no,22.0,0,1,19.0,south,between 0.0 and 35.0
no,yes,no,13-15years,white,no,35.0,0,0,41.0,northcentral,greater than 40.0
yes,no,yes,9-11years,white,no,18.0,1,0,27.0,other,between 0.0 and 35.0
no,no,no,12years,white,no,14.0,0,2,11.0,south,between 0.0 and 35.0
yes,yes,yes,13-15years,white,no,25.0,0,1,32.0,northcentral,greater than 40.0
no,yes,no,12years,black,no,16.0,0,0,22.0,other,greater than 40.0
yes,no,yes,13-15years,white,no,38.0,0,0,8.0,south,between 0.0 and 35.0
no,no,no,12years,white,no,41.0,0,0,0.0,west,between 0.0 and 35.0
yes,yes,yes,12years,white,no,23.0,1,0,60.0,northcentral,between 35.0 and 40.0
no,yes,no,16years,white,no,39.0,0,0,29.0,west,between 0.0 and 35.0
yes,no,yes,12years,white,no,11.0,1,2,15.0,northcentral,greater than 40.0
yes,no,yes,9-11years,white,no,29.0,0,1,26.0,south,between 0.0 and 35.0
no,yes,no,13-15years,white,no,34.0,0,0,10.0,west,greater than 40.0
yes,yes,yes,13-15years,white,no,15.0,0,0,35.0,south,greater than 40.0
no,no,no,13-15years,white,no,10.0,1,1,20.0,south,between 0.0 and 35.0
yes,yes,yes,12years,black,no,27.0,0,0,0.0,other,greater than 40.0
no,yes,yes,9-11years,white,no,44.0,0,0,18.0,northcentral,greater than 40.0
yes,yes,yes,12years,white,no,32.0,0,0,40.0,northcentral,between 0.0 and 35.0
no,no,no,16years,white,no,46.0,0,0,5.0,west,between 0.0 and 35.0
yes,yes,yes,9-11years,white,no,24.0,1,0,38.0,south,between 0.0 and 35.0
no,yes,no,12years,white,no,17.0,0,2,88.0,west,between 0.0 and 35.0
yes,yes,yes,13-15years,white,no,7.0,0,0,33.0,northcentral,greater than 40.0
yes,no,yes,12years,white,no,28.0,0,0,24.0,south,between 0.0 and 35.0
yes,yes,yes,12years,white,no,21.0,1,0,0.0,other,greater than 40.0
yes,yes,yes,12years,white,no,13.0,0,1,50.0,south,greater than 40.0
yes,yes,yes,9-11years,white,no,30.0,0,0,7.0,south,between 0.0 and 35.0
yes,yes,yes,12years,white,no,36.0,0,0,48.0,northcentral,greater than 40.0
yes,no,yes,13-15years,white,no,20.0,0,0,19.0,south,between 0.0 and 35.0
yes,yes,yes,12years,white,no,12.0,0,2,34.0,west,between 0.0 and 35.0
no,yes,yes,13-15years,white,no,33.0,0,0,14.0,west,greater than 40.0
no,yes,yes,12years,white,no,26.0,0,1,25.0,northcentral,between 0.0 and 35.0
yes,yes,yes,12years,white,no,42.0,0,0,59.0,northcentral,between 35.0 and 40.0
yes,yes,yes,13-15years,white,no,9.0,0,0,12.0,south,greater than 40.0
yes,yes,yes,12years,white,no,40.0,0,0,4.0,other,between 0.0 and 35.0
yes,yes,yes,12years,white,no,31.0,0,0,27.0,west,between 0.0 and 35.0
yes,no,yes,12years,white,no,45.0,0,0,3.0,south,greater than 40.0
yes,yes,yes,12years,white,no,16.0,0,0,49.0,other,between 0.0 and 35.0
yes,yes,yes,13-15years,white,no,43.0,0,0,1.0,northcentral,greater than 40.0
no,yes,no,12years,white,no,37.0,0,0,30.0,south,between 0.0 and 35.0
yes,yes,yes,9-11years,white,no,10.0,0,0,54.0,west,between 0.0 and 35.0
no,yes,yes,12years,white,no,19.0,0,0,17.0,northcentral,between 0.0 and 35.0
yes,yes,yes,13-15years,white,no,18.0,0,0,42.0,other,greater than 40.0
yes,yes,yes,12years,white,no,8.0,0,0,43.0,south,between 0.0 and 35.0
yes,yes,yes,12years,white,no,35.0,0,0,13.0,northcentral,greater than 40.0
yes,yes,yes,12years,white,no,48.0,0,0,52.0,other,between 0.0 and 35.0
yes,yes,yes,13-15years,white,no,6.0,0,0,36.0,west,between 0.0 and 35.0
yes,yes,yes,9-11years,white,no,39.0,0,0,10.0,south,greater than 40.0
no,yes,yes,12years,white,no,20.0,0,0,24.0,other,between 0.0 and 35.0
yes,yes,yes,13-15years,white,no,5.0,0,0,32.0,northcentral,greater than 40.0
yes,yes,yes,12years,white,no,44.0,0,0,50.0,west,between 0.0 and 35.0
yes,yes,yes,9-11years,white,no,11.0,0,0,45.0,west,greater than 40.0
no,yes,yes,12years,white,no,22.0,0,0,28.0,other,between 0.0 and 35.0
yes,yes,yes,12years,white,no,30.0,0,0,18.0,south,between 0.0 and 35.0
yes,yes,yes,12years,white,no,4.0,0,0,41.0,northcentral,between 0.0 and 35.0
yes,yes,yes,13-15years,white,no,28.0,0,0,34.0,other,greater than 40.0
yes,yes,yes,13-15years,white,no,17.0,0,0,55.0,south,between 0.0 and 35.0
yes,yes,yes,9-11years,white,no,25.0,0,0,23.0,west,between 0.0 and 35.0
yes,yes,yes,12years,white,no,38.0,0,0,58.0,northcentral,greater than 40.0
yes,yes,yes,13-15years,white,no,19.0,0,0,7.0,other,between 0.0 and 35.0
yes,yes,yes,12years,white,no,46.0,0,0,39.0,south,between 0.0 and 35.0
yes,no,yes,13-15years,white,no,21.4,0,1,29.2,south,between 0.0 and 35.0
no,yes,yes,12years,white,no,19.3,1,0,11.9,northcentral,greater than 40.0
yes,no,yes,9-11years,white,no,32.1,0,0,51.4,other,between 0.0 and 35.0
no,no,no,16years,white,no,40.6,0,2,4.8,west,between 0.0 and 35.0
