hhi,whi,hhi2,education,race,hispanic,experience,kidslt6,kids618,husby,region,whrswk
yes,no,yes,12years,white,no,24.0,0,1,26.0,other,between 0.0 and 35.0
no,yes,no,13-15years,white,yes,20.0,1,0,14.0,south,between 35.0 and 40.0
yes,no,yes,16years,white,no,17.0,0,2,41.0,west,greater than 40.0
yes,yes,yes,13-15years,black,no,25.0,0,0,42.0,other,between 0.0 and 35.0
no,yes,no,12years,white,no,27.0,0,1,25.5,northcentral,between 0.0 and 35.0
yes,no,yes,13-15years,white,no,28.0,0,0,35.0,south,greater than 40.0
yes,yes,yes,12years,white,no,16.0,1,2,0.0,south,between 0.0 and 35.0
no,no,no,12years,white,no,21.0,2,0,0.0,northcentral,greater than 40.0
yes,yes,yes,16years,white,no,26.0,0,4,41.0,west,between 35.0 and 40.0
yes,yes,yes,>16years,white,no,15.0,1,1,12.85,other,between 0.0 and 35.0
no,yes,no,12years,white,no,36.0,0,0,15.0,northcentral,greater than 40.0
no,yes,no,13-15years,white,yes,27.0,0,0,11.8,south,between 0.0 and 35.0
no,yes,yes,12years,white,no,19.0,0,2,20.0,west,between 0.0 and 35.0
yes,yes,yes,12years,white,yes,25.0,0,0,70.0,other,greater than 40.0
yes,yes,yes,13-15years,white,no,45.0,0,0,0.0,other,between 0.0 and 35.0
yes,no,yes,13-15years,white,yes,16.0,2,1,33.0,other,between 0.0 and 35.0
yes,yes,yes,16years,white,yes,8.0,0,2,39.0,other,greater than 40.0
yes,yes,yes,>16years,white,yes,31.0,0,0,45.0,west,between 35.0 and 40.0
yes,yes,yes,>16years,white,yes,20.0,0,0,26.0,northcentral,between 0.0 and 35.0
no,yes,yes,13-15years,white,yes,28.0,0,1,30.0,other,between 0.0 and 35.0
yes,yes,yes,12years,white,yes,18.0,1,2,18.0,other,greater than 40.0
yes,yes,yes,>16years,white,yes,21.0,0,2,21.0,northcentral,greater than 40.0
yes,yes,yes,>16years,white,yes,28.0,2,0,32.0,west,greater than 40.0
yes,yes,yes,>16years,white,yes,33.0,0,0,31.0,south,between 35.0 and 40.0
no,yes,yes,12years,white,yes,29.0,0,0,15.0,northcentral,greater than 40.0
yes,yes,yes,>16years,white,yes,22.0,2,0,42.0,other,between 0.0 and 35.0
yes,yes,yes,>16years,white,yes,34.0,0,0,44.0,west,greater than 40.0
no,yes,yes,12years,white,yes,35.0,0,0,40.0,northcentral,between 0.0 and 35.0
yes,yes,yes,12years,white,yes,38.0,1,0,33.0,other,greater than 40.0
yes,yes,yes,>16years,white,yes,13.0,0,0,34.0,south,between 35.0 and 40.0
no,yes,yes,13-15years,white,yes,11.0,1,2,19.0,other,between 0.0 and 35.0
yes,yes,yes,12years,white,yes,17.0,0,1,51.0,west,greater than 40.0
