hhi,whi,hhi2,education,race,hispanic,experience,kidslt6,kids618,husby,region,whrswk
yes,no,yes,13-15years,white,no,18.0,1,0,32.0,other,between 0.0 and 35.0
no,yes,yes,12years,white,yes,22.0,0,2,17.0,south,greater than 40.0
yes,yes,yes,16years,white,no,10.0,2,1,39.0,northcentral,greater than 40.0
no,yes,no,12years,white,no,29.0,0,0,46.0,other,between 35.0 and 40.0
yes,no,yes,12years,white,yes,14.0,1,1,40.0,south,between 0.0 and 35.0
no,yes,yes,13-15years,white,no,16.0,0,0,11.8,other,greater than 40.0
yes,yes,yes,12years,white,no,42.0,0,0,0.0,west,greater than 40.0
yes,no,yes,>16years,white,no,12.0,2,0,45.0,other,between 0.0 and 35.0
no,yes,no,12years,white,no,19.0,0,1,6.0,south,greater than 40.0
yes,no,yes,16years,white,no,13.0,0,1,34.0,northcentral,between 0.0 and 35.0
yes,yes,yes,13-15years,white,yes,36.0,0,0,25.0,west,between 35.0 and 40.0
no,yes,yes,>16years,white,yes,16.0,0,2,31.354,south,between 0.0 and 35.0
no,yes,no,13-15years,white,yes,20.0,0,2,17.0,south,greater than 40.0
yes,yes,yes,12years,white,no,17.0,1,0,32.0,west,between 0.0 and 35.0
no,yes,yes,13-15years,white,no,28.0,0,0,19.516,other,between 35.0 and 40.0
yes,no,yes,12years,white,no,35.0,0,0,17.0,south,between 0.0 and 35.0
yes,no,yes,13-15years,white,yes,17.0,1,1,60.0,other,between 0.0 and 35.0
no,yes,yes,12years,white,yes,10.0,2,0,28.0,other,between 0.0 and 35.0
yes,yes,yes,16years,white,no,18.0,1,2,28.0,west,between 0.0 and 35.0
yes,yes,yes,13-15years,white,no,14.0,0,1,35.0,south,greater than 40.0
yes,no,yes,12years,white,no,16.0,0,2,40.0,south,greater than 40.0
yes,yes,yes,12years,white,yes,42.0,0,0,0.0,other,greater than 40.0
yes,yes,yes,16years,white,yes,9.0,0,0,32.0,northcentral,greater than 40.0
no,yes,no,12years,white,yes,32.0,0,0,0.0,west,between 0.0 and 35.0
no,yes,yes,13-15years,white,yes,12.0,0,0,11.8,other,between 35.0 and 40.0
yes,no,yes,13-15years,white,yes,45.5,0,0,22.701,other,between 0.0 and 35.0
yes,yes,yes,12years,white,yes,27.0,0,0,4.1,south,greater than 40.0
no,yes,yes,12years,white,yes,21.0,3,2,16.0,west,between 0.0 and 35.0
yes,yes,yes,16years,white,yes,15.0,4,3,61.0,northcentral,between 0.0 and 35.0
yes,yes,yes,13-15years,white,yes,18.0,1,0,32.0,west,between 35.0 and 40.0
no,yes,no,12years,white,yes,46.0,0,0,0.0,other,between 0.0 and 35.0
yes,no,yes,12years,white,yes,20.0,1,0,19.967,south,between 0.0 and 35.0
no,yes,yes,12years,white,yes,47.0,0,0,0.0,west,between 0.0 and 35.0
yes,yes,yes,12years,white,yes,17.0,1,0,65.0,other,between 0.0 and 35.0
yes,yes,yes,16years,white,yes,42.0,0,0,0.0,other,greater than 40.0
yes,no,yes,13-15years,white,yes,39.0,0,1,54.7,west,between 0.0 and 35.0
yes,yes,yes,12years,white,yes,29.0,0,1,87.0,other,between 0.0 and 35.0
yes,yes,yes,13-15years,white,yes,14.0,1,1,60.0,other,between 0.0 and 35.0
yes,no,yes,12years,white,yes,30.0,0,0,42.776,northcentral,between 0.0 and 35.0
yes,yes,yes,16years,white,yes,11.0,1,1,43.0,other,between 0.0 and 35.0
yes,yes,yes,13-15years,white,yes,16.0,0,2,31.354,south,between 35.0 and 40.0
yes,yes,yes,12years,white,yes,33.0,0,0,35.0,south,greater than 40.0
yes,yes,yes,16years,white,yes,45.5,0,0,22.701,other,between 0.0 and 35.0
yes,yes,yes,12years,white,yes,27.0,0,0,4.1,south,greater than 40.0
yes,yes,yes,13-15years,white,yes,21.0,3,2,16.0,west,between 0.0 and 35.0
yes,yes,yes,12years,white,yes,15.0,4,3,61.0,northcentral,between 0.0 and 35.0
yes,yes,yes,16years,white,yes,18.0,1,0,32.0,west,between 35.0 and 40.0
yes,yes,yes,13-15years,white,yes,46.0,0,0,0.0,other,between 0.0 and 35.0
yes,yes,yes,12years,white,yes,20.0,1,0,19.967,south,between 0.0 and 35.0
yes,yes,yes,16years,white,yes,47.0,0,0,0.0,west,between 0.0 and 35.0
yes,yes,yes,12years,white,yes,17.0,1,0,65.0,other,between 0.0 and 35.0
yes,yes,yes,13-15years,white,yes,42.0,0,0,0.0,other,greater than 40.0
yes,yes,yes,16years,white,yes,39.0,0,1,54.7,west,between 0.0 and 35.0
yes,yes,yes,12years,white,yes,29.0,0,1,87.0,other,between 0.0 and 35.0
yes,yes,yes,13-15years,white,yes,14.0,1,1,60.0,other,between 0.0 and 35.0
yes,no,yes,12years,white,no,22.0,0,1,38.0,other,between 0.0 and 35.0
no,yes,yes,13-15years,white,no,25.0,1,0,29.0,south,greater than 40.0
yes,yes,yes,16years,white,no,18.0,0,2,51.0,northcentral,between 35.0 and 40.0
no,no,no,12years,white,yes,32.0,0,0,0.0,west,between 0.0 and 35.0
yes,no,yes,13-15years,white,no,14.0,1,1,49.0,other,greater than 40.0
no,yes,no,12years,white,no,20.0,0,0,46.0,other,greater than 40.0
yes,yes,yes,12years,white,no,36.0,0,0,25.0,south,between 0.0 and 35.0
no,no,no,16years,white,no,6.0,1,0,0.0,other,between 0.0 and 35.0
yes,no,yes,12years,white,no,35.0,0,0,17.0,south,between 0.0 and 35.0
