hhi,whi,hhi2,education,race,hispanic,experience,kidslt6,kids618,husby,region,whrswk
yes,no,yes,12years,white,no,39.0,0,0,65.0,northcentral,between 0.0 and 35.0
no,yes,no,12years,white,no,42.0,0,0,6.0,northcentral,greater than 40.0
no,no,no,12years,white,no,46.0,0,0,0.0,other,between 0.0 and 35.0
no,no,no,16years,white,no,6.0,1,0,0.0,other,between 0.0 and 35.0
yes,yes,yes,13-15years,white,no,12.0,0,2,35.0,south,greater than 40.0
yes,no,yes,12years,white,no,29.0,0,0,28.0,south,greater than 40.0
no,no,no,12years,white,yes,32.0,0,0,0.0,west,between 0.0 and 35.0
no,yes,yes,>16years,white,no,16.0,0,2,31.354,south,between 35.0 and 40.0
yes,yes,yes,13-15years,white,no,17.0,0,1,73.0,northcentral,greater than 40.0
no,no,no,13-15years,white,no,16.0,1,1,0.0,south,between 0.0 and 35.0
yes,no,yes,13-15years,white,no,29.0,0,1,87.0,other,between 0.0 and 35.0
yes,no,yes,16years,white,no,13.0,0,1,34.0,northcentral,between 0.0 and 35.0
no,yes,no,>16years,white,no,18.0,0,1,0.0,other,between 35.0 and 40.0
yes,no,yes,12years,white,no,14.0,1,1,40.0,south,between 0.0 and 35.0
yes,no,yes,9-11years,white,no,45.5,0,0,22.701,other,between 0.0 and 35.0
no,no,no,12years,white,yes,32.0,0,0,42.0,west,between 0.0 and 35.0
no,yes,yes,13-15years,white,no,16.0,1,0,36.0,northcentral,greater than 40.0
yes,yes,yes,16years,white,no,9.0,0,0,32.0,northcentral,greater than 40.0
no,no,no,12years,white,no,47.0,0,0,0.0,northcentral,between 0.0 and 35.0
no,yes,yes,13-15years,white,no,12.0,0,0,11.8,other,greater than 40.0
no,no,no,16years,black,no,11.0,1,1,43.0,other,between 0.0 and 35.0
yes,yes,yes,13-15years,white,no,14.0,1,0,32.0,west,between 35.0 and 40.0
yes,no,yes,13-15years,white,no,14.0,1,1,60.0,other,between 0.0 and 35.0
yes,yes,yes,12years,white,no,42.0,0,0,0.0,other,greater than 40.0
yes,yes,yes,16years,black,no,10.0,1,0,55.0,other,between 35.0 and 40.0
yes,no,yes,13-15years,white,no,23.0,0,2,44.0,northcentral,between 0.0 and 35.0
yes,no,yes,>16years,white,no,12.0,2,0,45.0,other,between 0.0 and 35.0
no,yes,no,12years,white,no,29.0,0,0,0.0,west,greater than 40.0
no,yes,no,12years,white,no,27.0,0,0,4.1,south,greater than 40.0
no,yes,no,12years,white,no,19.0,0,1,6.0,south,greater than 40.0
no,no,no,<9years,white,yes,13.0,2,1,24.04,other,between 0.0 and 35.0
yes,no,yes,13-15years,white,no,17.0,1,1,32.0,other,greater than 40.0
yes,no,yes,12years,white,no,16.0,0,2,40.0,south,greater than 40.0
no,no,no,12years,white,no,41.0,0,0,8.0,south,between 0.0 and 35.0
yes,yes,yes,12years,white,yes,36.0,0,0,25.0,west,greater than 40.0
yes,no,yes,13-15years,white,no,17.0,1,0,65.0,other,greater than 40.0
no,yes,yes,>16years,white,no,17.0,0,2,19.5,south,greater than 40.0
yes,yes,yes,16years,white,no,18.0,1,2,28.0,west,between 0.0 and 35.0
yes,no,yes,16years,black,no,15.0,4,3,61.0,northcentral,between 0.0 and 35.0
yes,no,yes,12years,white,no,47.0,0,0,0.0,west,between 0.0 and 35.0
yes,yes,yes,16years,white,no,13.0,2,0,39.0,other,between 35.0 and 40.0
yes,no,yes,16years,white,yes,34.0,0,0,99.999,south,between 0.0 and 35.0
no,yes,yes,12years,white,no,33.0,0,0,35.0,south,greater than 40.0
yes,no,yes,13-15years,white,no,36.0,0,0,71.55,south,between 0.0 and 35.0
no,yes,yes,12years,black,no,30.0,0,1,30.0,south,greater than 40.0
no,no,no,12years,white,no,14.0,1,1,0.0,other,greater than 40.0
yes,no,yes,12years,white,no,35.0,0,0,17.0,south,between 0.0 and 35.0
no,no,no,16years,white,no,35.0,0,0,0.0,northcentral,between 0.0 and 35.0
no,yes,no,13-15years,white,yes,8.0,0,0,0.0,south,greater than 40.0
no,yes,yes,13-15years,white,no,28.0,0,0,19.516,other,between 35.0 and 40.0
no,yes,no,12years,white,no,20.0,0,0,46.0,other,greater than 40.0
no,no,no,<9years,white,yes,21.0,3,2,16.0,west,between 0.0 and 35.0
no,yes,no,16years,white,yes,12.0,1,1,2.0,other,greater than 40.0
yes,no,yes,<9years,white,yes,39.0,0,1,54.7,west,between 0.0 and 35.0
no,no,no,12years,white,no,28.0,0,1,13.0,other,between 0.0 and 35.0
no,no,no,9-11years,white,no,8.5,0,0,34.0,west,between 0.0 and 35.0
no,yes,yes,13-15years,white,no,30.0,0,0,90.0,other,between 35.0 and 40.0
yes,no,yes,12years,white,no,21.0,1,2,41.0,west,between 0.0 and 35.0
no,yes,no,16years,white,no,6.0,0,0,0.0,south,greater than 40.0
no,yes,no,13-15years,white,yes,20.0,0,2,17.0,south,greater than 40.0
yes,no,yes,<9years,white,no,48.0,0,0,14.0,south,greater than 40.0
no,no,no,12years,white,yes,10.0,2,0,28.0,other,between 0.0 and 35.0
no,no,no,12years,white,no,20.0,1,0,19.967,south,between 0.0 and 35.0
yes,no,yes,12years,white,no,30.0,0,0,42.776,northcentral,between 0.0 and 35.0
no,no,no,12years,white,no,11.0,0,2,0.0,south,between 0.0 and 35.0
no,yes,no,12years,white,yes,37.0,0,0,9.884,west,greater than 40.0
yes,yes,yes,16years,white,no,25.0,0,1,60.0,west,greater than 40.0
yes,yes,yes,16years,white,no,18.0,0,0,99.999,west,greater than 40.0
no,yes,no,12years,black,no,12.0,0,1,0.0,south,greater than 40.0
yes,no,yes,12years,white,no,32.0,0,2,29.905,northcentral,between 0.0 and 35.0
yes,no,yes,13-15years,white,no,20.0,0,1,68.0,west,between 0.0 and 35.0
yes,no,yes,12years,white,no,27.0,0,4,63.0,other,between 0.0 and 35.0
yes,no,yes,12years,white,no,8.0,0,0,30.0,northcentral,between 35.0 and 40.0
yes,no,yes,<9years,white,yes,36.0,0,0,33.0,other,between 0.0 and 35.0
yes,yes,yes,13-15years,white,no,20.0,0,1,21.0,northcentral,between 0.0 and 35.0
yes,no,yes,>16years,white,no,18.0,0,4,50.0,south,between 35.0 and 40.0
yes,no,yes,12years,white,no,11.0,0,1,30.0,south,greater than 40.0
no,no,yes,13-15years,white,no,13.0,0,1,30.0,northcentral,between 35.0 and 40.0
yes,no,yes,>16years,white,no,17.0,1,1,82.0,other,between 0.0 and 35.0
yes,no,yes,12years,white,no,9.0,2,0,14.0,northcentral,greater than 40.0
yes,no,yes,13-15years,white,no,14.0,0,1,50.938,south,greater than 40.0
yes,no,yes,12years,white,no,35.0,0,0,8.4,northcentral,greater than 40.0
no,no,no,9-11years,white,no,27.5,0,0,29.0,south,between 0.0 and 35.0
no,yes,no,16years,white,no,22.0,0,0,31.795,west,greater than 40.0
yes,no,yes,>16years,white,no,33.0,0,0,32.0,northcentral,between 0.0 and 35.0
no,no,no,13-15years,white,no,17.0,0,1,30.0,south,between 0.0 and 35.0
no,yes,yes,13-15years,white,no,12.0,0,0,50.0,south,greater than 40.0
no,yes,no,13-15years,white,no,19.0,1,1,29.0,south,greater than 40.0
no,no,no,13-15years,white,no,26.0,1,1,0.0,other,between 0.0 and 35.0
yes,no,yes,12years,white,no,41.0,0,0,50.0,south,between 0.0 and 35.0
yes,no,yes,9-11years,white,no,45.5,0,0,72.0,south,between 0.0 and 35.0
yes,no,yes,12years,white,no,22.0,0,0,29.0,west,between 0.0 and 35.0
yes,yes,yes,16years,white,no,7.0,0,0,49.0,south,greater than 40.0
no,yes,yes,12years,white,no,35.0,0,0,20.0,northcentral,greater than 40.0
yes,no,yes,12years,white,no,28.0,0,1,45.0,northcentral,between 0.0 and 35.0
yes,no,yes,<9years,white,no,38.0,0,0,10.0,northcentral,greater than 40.0
no,yes,no,16years,white,no,28.0,0,0,0.0,south,greater than 40.0
yes,no,yes,12years,white,no,38.0,0,0,0.0,northcentral,between 0.0 and 35.0
no,yes,no,13-15years,white,no,9.0,1,1,0.0,northcentral,greater than 40.0
no,no,no,12years,white,no,26.0,0,1,17.3,south,between 0.0 and 35.0
no,yes,no,13-15years,white,no,18.0,0,2,6.702,northcentral,greater than 40.0
yes,no,yes,12years,white,no,27.0,0,0,36.2,northcentral,between 0.0 and 35.0
no,yes,no,12years,white,no,23.0,0,1,0.0,west,between 0.0 and 35.0
no,no,no,<9years,white,yes,22.0,0,3,28.0,west,between 0.0 and 35.0
yes,yes,yes,13-15years,white,no,32.0,0,0,46.9,west,greater than 40.0
yes,no,yes,16years,white,yes,15.0,1,0,53.0,other,between 0.0 and 35.0
no,no,yes,9-11years,white,no,29.5,0,1,22.0,west,between 0.0 and 35.0
no,no,no,12years,white,no,33.0,0,1,0.0,south,between 0.0 and 35.0
yes,yes,yes,12years,white,no,20.0,0,1,0.0,south,between 0.0 and 35.0
no,no,no,13-15years,white,no,13.0,0,2,20.0,south,between 35.0 and 40.0
