hhi,whi,hhi2,education,race,hispanic,experience,kidslt6,kids618,husby,region,whrswk
no,no,no,12years,white,no,14.0,0,1,15.5,south,between 0.0 and 35.0
yes,no,yes,12years,white,no,11.0,1,2,33.648,northcentral,greater than 40.0
yes,no,yes,13-15years,white,no,24.0,0,1,0.0,northcentral,between 0.0 and 35.0
no,yes,no,12years,white,no,14.0,2,0,87.0,west,between 0.0 and 35.0
no,no,no,12years,white,no,8.0,0,1,12.0,south,between 0.0 and 35.0
no,no,no,<9years,white,no,35.0,0,2,0.0,other,between 0.0 and 35.0
no,yes,no,12years,white,no,36.0,0,0,17.14,other,between 0.0 and 35.0
no,no,no,13-15years,white,no,44.0,0,0,0.0,west,between 0.0 and 35.0
yes,no,yes,12years,white,no,23.0,0,0,39.0,northcentral,between 0.0 and 35.0
yes,no,yes,12years,black,no,37.0,0,0,20.0,south,greater than 40.0
no,yes,no,12years,white,no,14.0,2,0,21.5,south,greater than 40.0
yes,no,yes,13-15years,white,no,25.0,0,0,0.3,other,greater than 40.0
yes,no,yes,13-15years,white,no,20.0,1,1,53.0,south,between 0.0 and 35.0
yes,yes,yes,12years,white,no,15.0,0,0,31.0,northcentral,greater than 40.0
no,no,no,<9years,white,yes,17.0,3,1,6.6,west,between 0.0 and 35.0
no,yes,yes,9-11years,white,no,39.5,0,0,18.0,northcentral,greater than 40.0
yes,no,yes,13-15years,white,no,29.0,0,1,28.0,south,greater than 40.0
yes,yes,yes,9-11years,white,no,24.5,0,0,44.0,northcentral,greater than 40.0
yes,no,yes,13-15years,white,no,30.0,0,0,37.0,south,greater than 40.0
yes,no,yes,16years,white,no,22.0,0,1,89.0,south,between 0.0 and 35.0
no,no,no,16years,white,no,37.0,0,0,0.0,south,between 0.0 and 35.0
no,yes,yes,9-11years,black,no,37.5,0,0,30.0,other,greater than 40.0
no,no,no,12years,white,no,25.0,0,0,23.0,other,between 0.0 and 35.0
yes,yes,yes,12years,black,no,17.0,0,1,23.0,south,greater than 40.0
yes,no,yes,13-15years,white,no,7.0,2,0,38.0,west,between 0.0 and 35.0
yes,no,yes,12years,white,no,11.0,1,1,20.0,northcentral,greater than 40.0
no,no,no,13-15years,white,no,14.0,0,2,19.269,west,between 0.0 and 35.0
yes,no,yes,12years,white,no,27.0,0,0,36.0,northcentral,between 0.0 and 35.0
no,no,no,12years,white,no,15.0,0,3,0.0,south,between 0.0 and 35.0
yes,no,yes,>16years,white,no,18.0,1,0,99.999,other,between 0.0 and 35.0
yes,no,yes,13-15years,white,no,14.0,0,0,40.0,northcentral,greater than 40.0
no,yes,yes,9-11years,white,no,43.5,0,0,26.0,south,between 0.0 and 35.0
no,yes,no,16years,white,no,15.0,1,0,0.0,south,greater than 40.0
no,no,no,12years,white,no,41.0,0,0,0.0,west,between 35.0 and 40.0
yes,yes,yes,13-15years,white,no,25.0,0,2,60.0,northcentral,greater than 40.0
no,yes,no,12years,white,no,46.0,0,0,0.0,other,between 0.0 and 35.0
no,yes,no,12years,white,no,15.0,0,2,24.0,northcentral,greater than 40.0
no,yes,no,12years,white,no,4.0,1,0,6.0,other,greater than 40.0
no,no,no,9-11years,white,no,6.5,2,0,20.0,south,between 0.0 and 35.0
no,yes,no,16years,white,no,38.0,0,0,30.0,west,between 0.0 and 35.0
no,no,no,13-15years,black,no,15.0,0,3,0.0,south,between 0.0 and 35.0
yes,no,yes,12years,white,no,28.0,0,0,35.0,south,between 0.0 and 35.0
yes,yes,yes,9-11years,white,no,43.5,0,0,0.0,south,between 0.0 and 35.0
yes,no,yes,13-15years,white,no,38.0,0,0,0.0,south,between 0.0 and 35.0
no,yes,no,12years,other,no,23.0,0,1,2.5,west,greater than 40.0
no,no,no,9-11years,white,no,47.5,0,0,0.0,northcentral,between 0.0 and 35.0
no,yes,no,9-11years,white,no,44.5,0,0,0.0,other,greater than 40.0
no,yes,yes,12years,white,no,44.0,0,0,8.0,northcentral,between 0.0 and 35.0
no,no,no,9-11years,white,no,38.5,0,0,22.0,south,between 0.0 and 35.0
no,yes,no,16years,white,no,37.0,0,0,41.995,northcentral,between 0.0 and 35.0
no,yes,yes,13-15years,white,no,34.0,0,0,44.0,northcentral,between 0.0 and 35.0
yes,yes,yes,13-15years,black,no,21.0,0,1,37.0,other,greater than 40.0
yes,no,yes,9-11years,white,no,36.5,0,0,31.0,other,between 0.0 and 35.0
yes,no,yes,12years,white,no,44.0,0,0,60.0,northcentral,between 35.0 and 40.0
no,no,no,9-11years,other,no,29.5,0,0,25.0,west,between 0.0 and 35.0
no,no,no,13-15years,white,no,10.0,1,0,42.0,south,between 0.0 and 35.0
no,yes,no,12years,black,no,18.0,0,3,0.0,other,greater than 40.0
no,yes,yes,16years,white,no,3.0,0,0,31.8,northcentral,greater than 40.0
no,no,yes,12years,white,no,17.0,1,0,18.0,south,between 0.0 and 35.0
no,yes,no,13-15years,white,no,34.0,0,0,23.0,west,greater than 40.0
no,no,yes,13-15years,white,no,26.0,0,1,21.0,northcentral,greater than 40.0
yes,no,yes,13-15years,white,no,42.0,0,0,6.0,south,between 0.0 and 35.0
yes,no,yes,9-11years,white,no,32.5,0,0,6.0,northcentral,between 0.0 and 35.0
no,no,no,16years,white,no,41.0,0,0,6.6,west,between 0.0 and 35.0
