hhi,whi,hhi2,education,race,hispanic,experience,kidslt6,kids618,husby,region,whrswk
no,yes,no,16years,white,no,25.0,0,0,0.0,west,greater than 40.0
yes,yes,yes,12years,white,no,45.0,0,0,84.0,west,greater than 40.0
yes,no,yes,13-15years,white,no,17.0,2,1,33.0,other,between 35.0 and 40.0
no,yes,yes,12years,white,no,10.0,2,0,24.5,northcentral,between 0.0 and 35.0
yes,no,yes,13-15years,white,no,25.0,0,0,26.0,northcentral,greater than 40.0
no,yes,no,12years,white,no,22.0,0,1,15.0,south,greater than 40.0
no,yes,no,12years,white,no,4.0,1,0,11.0,south,between 35.0 and 40.0
no,no,no,13-15years,white,no,11.0,2,1,31.0,other,between 0.0 and 35.0
yes,no,yes,16years,white,no,16.0,1,2,0.0,south,between 0.0 and 35.0
yes,no,yes,16years,white,no,26.0,0,4,41.0,west,greater than 40.0
no,yes,no,12years,white,no,19.0,0,2,20.0,west,between 35.0 and 40.0
yes,no,yes,12years,white,yes,16.0,1,1,12.85,other,between 0.0 and 35.0
no,no,no,12years,white,no,42.0,0,0,0.0,northcentral,greater than 40.0
yes,no,yes,13-15years,white,no,45.0,0,0,0.0,other,between 0.0 and 35.0
yes,no,yes,12years,white,no,31.0,0,0,33.0,other,greater than 40.0
no,yes,no,12years,white,no,27.0,0,1,25.5,other,between 0.0 and 35.0
yes,no,yes,13-15years,white,no,24.0,1,1,55.0,south,between 0.0 and 35.0
yes,no,yes,13-15years,black,no,25.0,0,0,42.0,other,between 0.0 and 35.0
no,yes,yes,12years,white,no,36.0,0,0,39.0,northcentral,between 0.0 and 35.0
yes,no,yes,13-15years,white,no,8.0,2,0,28.8,west,between 0.0 and 35.0
no,yes,no,13-15years,white,no,27.0,0,0,0.0,northcentral,greater than 40.0
yes,yes,yes,>16years,white,no,18.0,0,2,70.0,other,greater than 40.0
yes,no,yes,9-11years,white,no,16.5,1,0,45.0,south,greater than 40.0
no,yes,no,12years,white,no,26.0,0,0,15.0,northcentral,greater than 40.0
no,no,yes,13-15years,white,yes,20.0,0,1,11.8,south,between 0.0 and 35.0
yes,no,yes,13-15years,white,no,17.0,0,2,44.0,west,between 0.0 and 35.0
yes,no,yes,12years,white,no,31.0,0,0,18.0,other,between 0.0 and 35.0
no,yes,no,16years,white,no,25.0,0,0,0.0,south,greater than 40.0
yes,no,yes,>16years,white,no,15.0,1,1,32.0,northcentral,greater than 40.0
no,yes,no,12years,white,no,21.0,0,2,0.0,northcentral,greater than 40.0
yes,no,yes,13-15years,white,no,28.0,0,0,35.0,south,between 0.0 and 35.0
yes,no,yes,16years,white,no,28.0,0,0,60.0,south,between 0.0 and 35.0
yes,no,yes,16years,black,no,40.0,0,1,21.0,other,between 0.0 and 35.0
no,no,no,12years,white,no,30.0,1,2,0.0,northcentral,between 0.0 and 35.0
no,yes,no,12years,white,no,35.0,0,0,20.0,south,between 35.0 and 40.0
no,yes,yes,12years,white,no,43.0,0,0,45.0,northcentral,greater than 40.0
no,yes,no,16years,white,no,40.0,0,0,6.561,other,greater than 40.0
yes,no,yes,>16years,white,no,16.0,1,2,50.0,west,greater than 40.0
no,no,no,16years,white,no,17.0,0,0,15.0,south,between 0.0 and 35.0
yes,yes,yes,>16years,white,no,29.0,0,0,41.669,northcentral,greater than 40.0
yes,no,yes,12years,white,no,7.0,0,0,23.0,south,between 35.0 and 40.0
yes,yes,yes,>16years,white,no,14.0,0,0,64.0,west,greater than 40.0
no,yes,yes,12years,white,no,36.0,0,0,4.0,northcentral,greater than 40.0
yes,no,yes,16years,black,no,19.0,0,2,3.5,northcentral,between 0.0 and 35.0
no,no,no,9-11years,white,no,35.5,0,0,0.0,south,between 35.0 and 40.0
no,yes,no,13-15years,white,no,8.0,0,0,5.272,other,greater than 40.0
yes,no,yes,12years,white,no,41.0,0,0,0.0,northcentral,between 0.0 and 35.0
yes,no,yes,16years,white,no,17.0,1,4,99.999,northcentral,between 0.0 and 35.0
no,no,yes,<9years,white,yes,15.0,1,2,24.0,west,greater than 40.0
yes,yes,yes,<9years,white,no,39.0,0,1,30.0,other,greater than 40.0
no,no,no,<9years,white,yes,16.0,1,3,20.6,northcentral,between 0.0 and 35.0
yes,no,yes,13-15years,white,no,28.0,0,0,58.0,other,greater than 40.0
yes,no,yes,13-15years,white,no,24.0,0,1,105.999,south,between 0.0 and 35.0
yes,yes,yes,13-15years,white,no,10.0,2,0,37.0,west,greater than 40.0
yes,no,yes,>16years,white,no,24.0,0,1,75.322,south,between 0.0 and 35.0
yes,no,yes,13-15years,white,no,2.0,0,0,25.0,west,between 0.0 and 35.0
no,yes,yes,12years,white,no,28.0,0,2,35.0,south,greater than 40.0
yes,no,yes,13-15years,white,no,23.0,0,3,0.0,northcentral,between 0.0 and 35.0
no,yes,yes,13-15years,white,no,30.0,0,0,45.0,west,greater than 40.0
no,yes,no,16years,white,yes,13.0,0,0,30.0,west,greater than 40.0
yes,no,yes,>16years,white,no,17.0,0,2,25.0,northcentral,greater than 40.0
yes,no,yes,12years,white,no,41.0,0,0,85.0,northcentral,between 0.0 and 35.0
no,yes,no,9-11years,white,no,43.5,0,0,13.154,west,greater than 40.0
no,yes,no,12years,white,no,19.0,0,2,0.0,northcentral,greater than 40.0
