hhi,whi,hhi2,education,race,hispanic,experience,kidslt6,kids618,husby,region,whrswk
no,no,no,12years,white,no,14.0,0,1,15.5,south,between 0.0 and 35.0
yes,no,yes,12years,white,no,11.0,1,2,33.648,northcentral,greater than 40.0
yes,no,yes,13-15years,white,no,24.0,0,1,0.0,northcentral,between 0.0 and 35.0
no,yes,no,12years,white,no,14.0,2,0,87.0,west,between 0.0 and 35.0
no,no,no,12years,white,no,8.0,0,1,12.0,south,between 0.0 and 35.0
no,no,no,<9years,white,no,35.0,0,2,0.0,other,between 0.0 and 35.0
no,yes,no,12years,white,no,36.0,0,0,17.14,other,between 0.0 and 35.0
no,no,no,13-15years,white,no,44.0,0,0,0.0,west,between 0.0 and 35.0
yes,no,yes,12years,white,no,23.0,0,0,39.0,northcentral,between 0.0 and 35.0
yes,no,yes,12years,black,no,37.0,0,0,20.0,south,greater than 40.0
no,yes,no,12years,white,no,14.0,2,0,21.5,south,greater than 40.0
yes,no,yes,13-15years,white,no,25.0,0,0,0.3,other,greater than 40.0
yes,no,yes,13-15years,white,no,20.0,1,1,53.0,south,between 0.0 and 35.0
yes,yes,yes,12years,white,no,15.0,0,0,31.0,northcentral,greater than 40.0
no,no,no,<9years,white,yes,17.0,3,1,6.6,west,between 0.0 and 35.0
no,yes,yes,9-11years,white,no,39.5,0,0,18.0,northcentral,greater than 40.0
